"MovieID","ratings_per_movie","ave_ratings","Title","Genres","Year"
2019,628,4.56050955414013,"Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)","Action|Drama",1954
318,2227,4.55455770094297,"Shawshank Redemption, The (1994)","Drama",1994
858,2223,4.52496626180837,"Godfather, The (1972)","Action|Crime|Drama",1972
745,657,4.52054794520548,"Close Shave, A (1995)","Animation|Comedy|Thriller",1995
50,1783,4.5171060011217,"Usual Suspects, The (1995)","Crime|Thriller",1995
527,2304,4.51041666666667,"Schindler's List (1993)","Drama|War",1993
1148,882,4.50793650793651,"Wrong Trousers, The (1993)","Animation|Comedy",1993
922,470,4.49148936170213,"Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)","Film-Noir",1950
1198,2514,4.47772474144789,"Raiders of the Lost Ark (1981)","Action|Adventure",1981
904,1050,4.47619047619048,"Rear Window (1954)","Mystery|Thriller",1954
1178,230,4.47391304347826,"Paths of Glory (1957)","Drama|War",1957
260,2991,4.45369441658308,"Star Wars: Episode IV - A New Hope (1977)","Action|Adventure|Fantasy|Sci-Fi",1977
1212,480,4.45208333333333,"Third Man, The (1949)","Mystery|Thriller",1949
750,1367,4.44989027066569,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)","Sci-Fi|War",1963
720,438,4.42694063926941,"Wallace & Gromit: The Best of Aardman Animation (1996)","Animation",1996
1207,928,4.42564655172414,"To Kill a Mockingbird (1962)","Drama",1962
3435,551,4.41560798548094,"Double Indemnity (1944)","Crime|Film-Noir",1944
912,1669,4.41282204913122,"Casablanca (1942)","Drama|Romance|War",1942
2762,2459,4.40626270841806,"Sixth Sense, The (1999)","Thriller",1999
3030,215,4.4046511627907,"Yojimbo (1961)","Comedy|Drama|Western",1961
1204,831,4.40192539109507,"Lawrence of Arabia (1962)","Adventure|War",1962
913,1043,4.39597315436242,"Maltese Falcon, The (1941)","Film-Noir|Mystery",1941
1193,1725,4.39072463768116,"One Flew Over the Cuckoo's Nest (1975)","Drama",1975
923,1116,4.38888888888889,"Citizen Kane (1941)","Drama",1941
3307,271,4.38745387453875,"City Lights (1931)","Comedy|Drama|Romance",1931
1250,938,4.38699360341151,"Bridge on the River Kwai, The (1957)","Drama|War",1957
908,1315,4.38403041825095,"North by Northwest (1959)","Drama|Thriller",1959
1262,696,4.3764367816092,"Great Escape, The (1963)","Adventure|War",1963
3022,206,4.36893203883495,"General, The (1927)","Comedy",1927
1223,473,4.3615221987315,"Grand Day Out, A (1992)","Animation|Comedy",1992
1221,1692,4.35756501182033,"Godfather: Part II, The (1974)","Action|Crime|Drama",1974
593,2578,4.35182311869666,"Silence of the Lambs, The (1991)","Drama|Thriller",1991
3134,165,4.33939393939394,"Grand Illusion (Grande illusion, La) (1937)","Drama|War",1937
1252,1185,4.33924050632911,"Chinatown (1974)","Film-Noir|Mystery|Thriller",1974
2028,2653,4.33735393893705,"Saving Private Ryan (1998)","Action|Drama|War",1998
3429,274,4.33576642335766,"Creature Comforts (1990)","Animation|Comedy",1990
1136,1599,4.33520950594121,"Monty Python and the Holy Grail (1974)","Comedy",1974
1267,765,4.33333333333333,"Manchurian Candidate, The (1962)","Film-Noir|Thriller",1962
2324,1152,4.32986111111111,"Life Is Beautiful (La Vita è bella) (1997)","Comedy|Drama",1997
1147,277,4.32129963898917,"When We Were Kings (1996)","Documentary",1996
1234,1049,4.32030505243089,"Sting, The (1973)","Comedy|Crime",1973
2571,2590,4.31583011583012,"Matrix, The (1999)","Action|Sci-Fi|Thriller",1999
1284,541,4.31238447319778,"Big Sleep, The (1946)","Film-Noir|Mystery",1946
2186,482,4.30497925311203,"Strangers on a Train (1951)","Film-Noir|Thriller",1951
1197,2318,4.3037100949094,"Princess Bride, The (1987)","Action|Adventure|Comedy|Romance",1987
1233,1001,4.3026973026973,"Boat, The (Das Boot) (1981)","Action|Drama|War",1981
1260,308,4.30194805194805,"M (1931)","Crime|Film-Noir|Thriller",1931
898,582,4.30068728522337,"Philadelphia Story, The (1940)","Comedy|Romance",1940
910,832,4.30048076923077,"Some Like It Hot (1959)","Comedy|Crime",1959
930,445,4.29438202247191,"Notorious (1946)","Film-Noir|Romance|Thriller",1946
1196,2990,4.29297658862876,"Star Wars: Episode V - The Empire Strikes Back (1980)","Action|Adventure|Drama|Sci-Fi|War",1980
1254,453,4.28918322295806,"Treasure of the Sierra Madre, The (1948)","Adventure",1948
1172,615,4.28780487804878,"Cinema Paradiso (1988)","Comedy|Drama|Romance",1988
899,751,4.28362183754993,"Singin' in the Rain (1952)","Musical|Romance",1952
296,2171,4.27821280515891,"Pulp Fiction (1994)","Crime|Drama",1994
1213,1657,4.27519613759807,"GoodFellas (1990)","Crime|Drama",1990
541,1800,4.27333333333333,"Blade Runner (1982)","Film-Noir|Sci-Fi",1982
903,905,4.27292817679558,"Vertigo (1958)","Mystery|Thriller",1958
1945,519,4.26974951830443,"On the Waterfront (1954)","Crime|Drama",1954
1189,269,4.25278810408922,"Thin Blue Line, The (1988)","Documentary",1988
969,1057,4.25165562913907,"African Queen, The (1951)","Action|Adventure|Romance|War",1951
1278,1193,4.25062866722548,"Young Frankenstein (1974)","Comedy|Horror",1974
3730,453,4.24944812362031,"Conversation, The (1974)","Drama|Mystery",1974
919,1718,4.24796274738067,"Wizard of Oz, The (1939)","Adventure|Children's|Drama|Musical",1939
1247,1261,4.24583663758921,"Graduate, The (1967)","Drama|Romance",1967
950,292,4.23972602739726,"Thin Man, The (1934)","Mystery",1934
2859,239,4.23430962343096,"Stop Making Sense (1984)","Documentary",1984
3801,199,4.23115577889447,"Anatomy of a Murder (1959)","Drama|Mystery",1959
556,132,4.22727272727273,"War Room, The (1993)","Documentary",1993
2692,1072,4.22481343283582,"Run Lola Run (Lola rennt) (1998)","Action|Crime|Romance",1998
1617,2288,4.21940559440559,"L.A. Confidential (1997)","Crime|Film-Noir|Mystery|Thriller",1997
3114,1585,4.21892744479495,"Toy Story 2 (1999)","Animation|Children's|Comedy",1999
1219,1263,4.21852731591449,"Psycho (1960)","Horror|Thriller",1960
1304,1419,4.21564482029598,"Butch Cassidy and the Sundance Kid (1969)","Action|Comedy|Western",1969
